id	emotion
1	Happy
2	Energetic
3	Excited
4	Lovely
5	Satisfied
6	Comfortable
7	Fun
8	Glad
9	Confident
10	Thrilled
11	Impressive
12	Painful
13	Miss
14	Sorry
15	Sorrowful
16	Hurt
17	Upset
18	Sad
19	Disappointed
20	Regrettable
21	Lonely
22	Depressed
23	Regretful
24	Frustrated
25	Hateful
26	Resentful
27	Unfair
28	Resentful
29	Fed up
30	Annoyed
31	Difficult
32	Annoyed
33	Ashamed
34	Burdensome
35	Envious
36	Uncomfortable
37	Awkward
38	Bored
39	Tired
40	Absurd
41	Worried
42	Nervous
43	Surprised
44	Embarrassed
45	Afraid
46	Scared
47	Anxious
48	Confused
