행복하다	Happy
활기차다	Energetic
설레다	Excited
사랑스럽다	Lovely
만족스럽다	Satisfied
편안하다	Comfortable
재미있다	Fun
기쁘다	Glad
자신있다	Confident
신나다	Thrilled
감동적이다	Impressive
괴롭다	Painful
그립다	Miss
미안하다	Sorry
서럽다	Sorrowful
서운하다	Disappointed
속상하다	Upset
슬프다	Sad
실망하다	Disappointed
안타깝다	Regrettable
쓸쓸하다	Lonely
우울하다	Depressed
후회하다	Regretful
답답하다	Frustrated
밉다	Hateful
분하다	Resentful
억울하다	Unfair
원망스럽다	Resentful
지겹다	Fed up
짜증나다	Annoyed
곤란하다	Difficult
귀찮다	Annoyed
부끄럽다	Ashamed
부담스럽다	Burdensome
부럽다	Envious
불편하다	Uncomfortable
어색하다	Awkward
지루하다	Bored
피곤하다	Tired
황당하다	Absurd
걱정하다	Worried
긴장하다	Nervous
깜짝 놀라다	Surprised
당황하다	Embarrassed
두렵다	Afraid
무섭다	Scared
불안하다	Anxious
혼란스럽다	Confused
